id,case_number,date,block,iucr_code,location_desc,arrest,domestic,beat_num,district_code,ward_no,community_code,fbi_code,x_coordinate,y_coordinate,year,date_of_update,latitude,longitude,location
10509460,HZ250952,5/4/2016,071XX S JEFFERY BLVD,1330,DRUG STORE,TRUE,FALSE,333,3,5,43,26,1190777,1858141,2016,5/11/2016,41.76575557,-87.57629243,"(41.765755571, -87.576292427)"
10509801,HZ251260,5/3/2016,016XX W OLIVE AVE,501A,RESIDENTIAL YARD (FRONT/BACK),FALSE,FALSE,2012,20,40,77,26,1164322,1937557,2016,5/10/2016,41.98427785,-87.67101243,"(41.984277849, -87.671012432)"
10509473,HZ250866,5/4/2016,010XX N RUSH ST,810,STREET,FALSE,FALSE,1824,18,42,8,6,1176265,1907589,2016,5/11/2016,41.90178302,-87.62799506,"(41.90178302, -87.627995064)"
10509840,HZ251384,5/3/2016,028XX S CENTRAL PARK AVE,620,RESIDENCE-GARAGE,FALSE,FALSE,1032,10,22,30,5,1152831,1884874,2016,5/10/2016,41.83994702,-87.7146725,"(41.839947022, -87.714672499)"
10509474,HZ250988,5/4/2016,032XX W 59TH ST,580,STREET,FALSE,FALSE,822,8,14,63,08A,1155977,1865327,2016,5/11/2016,41.78624472,-87.70365352,"(41.786244716, -87.703653521)"
10509843,HZ251265,5/3/2016,039XX S LAKE PARK AVE,486,APARTMENT,FALSE,TRUE,214,2,4,36,08B,1183292,1879180,2016,5/10/2016,41.82366585,-87.60307202,"(41.823665846, -87.603072021)"
10509477,HZ250966,5/4/2016,007XX N CHRISTIANA AVE,810,APARTMENT,FALSE,FALSE,1121,11,27,23,6,1153911,1904714,2016,5/11/2016,41.89436874,-87.71018083,"(41.89436874, -87.710180832)"
10509846,HZ251231,5/3/2016,111XX S BELL AVE,1152,RESIDENCE,FALSE,FALSE,2212,22,19,75,11,1163372,1830887,2016,5/10/2016,41.69158427,-87.67750189,"(41.691584267, -87.677501885)"
10509478,HZ250992,5/4/2016,007XX N HAMLIN AVE,560,APARTMENT,TRUE,TRUE,1112,11,27,23,08A,1150924,1904654,2016,5/11/2016,41.8942631,-87.72115283,"(41.894263101, -87.721152828)"
10509480,HZ251028,5/4/2016,066XX S COTTAGE GROVE AVE,860,GROCERY FOOD STORE,FALSE,FALSE,321,3,5,42,6,1182702,1861192,2016,5/11/2016,41.77431903,-87.60579503,"(41.774319025, -87.605795029)"
10509883,HZ251248,5/3/2016,014XX N PARKSIDE AVE,2840,"SCHOOL, PUBLIC, BUILDING",FALSE,FALSE,2531,25,29,25,24,1138406,1909030,2016,5/10/2016,41.90650727,-87.76702211,"(41.906507267, -87.76702211)"
10509896,HZ251520,5/3/2016,084XX S BENNETT AVE,610,RESIDENCE-GARAGE,FALSE,FALSE,412,4,8,45,5,1190325,1849409,2016,5/10/2016,41.7418051,-87.57823003,"(41.741805104, -87.578230034)"
10509902,HZ251508,5/3/2016,068XX S KILDARE AVE,2820,RESIDENCE,FALSE,FALSE,833,8,13,65,26,1148884,1858936,2016,5/10/2016,41.76884638,-87.7298248,"(41.768846377, -87.729824801)"
10509920,HZ251426,5/3/2016,060XX S WESTERN AVE,890,OTHER,FALSE,FALSE,825,8,16,66,6,1161408,1864461,2016,5/10/2016,41.78375742,-87.68376461,"(41.783757424, -87.683764609)"
10509930,HZ251521,5/3/2016,051XX W PATTERSON AVE,890,RESIDENCE-GARAGE,FALSE,FALSE,1634,16,38,15,6,1141431,1923782,2016,5/10/2016,41.94693295,-87.75554478,"(41.946932946, -87.75554478)"
10509946,HZ251516,5/3/2016,060XX W MELROSE ST,630,RESIDENCE,FALSE,FALSE,1633,16,36,17,5,1135651,1920983,2016,5/10/2016,41.93935715,-87.77685754,"(41.939357146, -87.776857542)"
10509988,HZ250746,5/3/2016,029XX N SHEFFIELD AVE,1154,,TRUE,FALSE,1933,19,44,6,11,1169107,1919625,2016,5/10/2016,41.93496894,-87.65393685,"(41.934968944, -87.653936849)"
10510002,HZ250689,5/3/2016,031XX N SOUTHPORT AVE,890,APARTMENT,FALSE,FALSE,1933,19,32,6,6,1166410,1921167,2016,5/10/2016,41.93925849,-87.66380409,"(41.939258491, -87.663804093)"
10510006,HZ250696,5/3/2016,062XX S ARCHER AVE,810,VEHICLE NON-COMMERCIAL,FALSE,FALSE,811,8,23,56,6,1135620,1867749,2016,5/10/2016,41.79327599,-87.77823659,"(41.793275985, -87.77823659)"
10510008,HZ250711,5/3/2016,0000X E LAKE ST,820,COLLEGE/UNIVERSITY GROUNDS,FALSE,FALSE,111,1,42,32,6,1176585,1901750,2016,5/10/2016,41.88575329,-87.62699624,"(41.885753285, -87.626996239)"
10510023,HZ251630,5/3/2016,085XX S BENNETT AVE,1310,RESIDENCE,FALSE,FALSE,412,4,8,45,14,1190338,1848813,2016,5/10/2016,41.74016931,-87.57820157,"(41.740169311, -87.578201565)"
